Date,HomeTeam,AwayTeam,B365H,B365D,B365A,Bookmaker,League
2025-12-26 20:00:00+00:00,manchester united,newcastle united,2.5,3.6,2.65,unibet_uk,soccer_epl
2025-12-27 12:30:00+00:00,nottingham forest,manchester city,5.0,4.25,1.6,unibet_uk,soccer_epl
2025-12-27 15:00:00+00:00,arsenal,brighton and hove albion,1.36,4.5,7.5,skybet,soccer_epl
2025-12-27 15:00:00+00:00,brentford,bournemouth,2.25,3.6,2.95,unibet_uk,soccer_epl
2025-12-27 15:00:00+00:00,burnley,everton,4.0,3.35,1.95,unibet_uk,soccer_epl
2025-12-27 15:00:00+00:00,west ham united,fulham,2.65,3.4,2.6,unibet_uk,soccer_epl
2025-12-27 15:00:00+00:00,liverpool,wolverhampton wanderers,1.23,6.5,10.5,unibet_uk,soccer_epl
2025-12-27 17:30:00+00:00,chelsea,aston villa,1.84,3.8,4.0,unibet_uk,soccer_epl
2025-12-28 14:00:00+00:00,sunderland,leeds united,2.55,3.2,2.85,unibet_uk,soccer_epl
2025-12-28 16:30:00+00:00,crystal palace,tottenham hotspur,2.25,3.3,3.15,unibet_uk,soccer_epl
2025-12-30 19:30:00+00:00,chelsea,bournemouth,1.62,4.2,5.0,unibet_uk,soccer_epl
2025-12-30 19:30:00+00:00,west ham united,brighton and hove albion,3.1,3.5,2.2,unibet_uk,soccer_epl
2025-12-30 19:30:00+00:00,burnley,newcastle united,5.0,3.9,1.65,unibet_uk,soccer_epl
2025-12-30 19:30:00+00:00,nottingham forest,everton,2.25,3.25,3.2,unibet_uk,soccer_epl
2025-12-30 20:15:00+00:00,arsenal,aston villa,1.48,4.35,6.5,unibet_uk,soccer_epl
2025-12-30 20:15:00+00:00,manchester united,wolverhampton wanderers,1.34,5.5,8.0,unibet_uk,soccer_epl
2026-01-01 17:30:00+00:00,crystal palace,fulham,2.1,3.35,3.45,unibet_uk,soccer_epl
2026-01-01 17:30:00+00:00,liverpool,leeds united,1.48,4.5,6.0,unibet_uk,soccer_epl
2026-01-01 20:00:00+00:00,brentford,tottenham hotspur,2.25,3.5,3.05,unibet_uk,soccer_epl
2026-01-01 20:00:00+00:00,sunderland,manchester city,5.8,4.2,1.53,williamhill,soccer_epl
2025-12-26 15:00:00+00:00,barnsley,mansfield town,1.93,3.5,3.3,virginbet,soccer_england_league1
2025-12-26 15:00:00+00:00,blackpool,doncaster rovers,2.38,3.4,2.85,casumo,soccer_england_league1
2025-12-26 15:00:00+00:00,bolton wanderers,rotherham united,1.4,4.5,7.0,grosvenor,soccer_england_league1
2025-12-26 15:00:00+00:00,bradford city,wigan athletic,1.93,3.3,3.95,casumo,soccer_england_league1
2025-12-26 15:00:00+00:00,burton albion,northampton town,2.16,3.2,3.05,virginbet,soccer_england_league1
2025-12-26 15:00:00+00:00,cardiff city,exeter city,1.54,4.0,5.6,grosvenor,soccer_england_league1
2025-12-26 15:00:00+00:00,huddersfield town,port vale,1.78,3.5,4.35,casumo,soccer_england_league1
2025-12-26 15:00:00+00:00,peterborough united,leyton orient,2.05,3.4,3.25,skybet,soccer_england_league1
2025-12-26 15:00:00+00:00,stockport county fc,lincoln city,2.1,3.4,3.3,casumo,soccer_england_league1
2025-12-26 15:00:00+00:00,luton,wycombe wanderers,2.25,3.1,3.0,virginbet,soccer_england_league1
2025-12-26 15:00:00+00:00,plymouth argyle,reading,2.43,3.2,2.7,virginbet,soccer_england_league1
2025-12-26 15:00:00+00:00,wimbledon,stevenage,2.95,2.88,2.5,grosvenor,soccer_england_league1
2025-12-29 19:45:00+00:00,barnsley,lincoln city,2.35,3.45,2.75,grosvenor,soccer_england_league1
2025-12-29 19:45:00+00:00,blackpool,rotherham united,2.02,3.35,3.3,livescorebet,soccer_england_league1
2025-12-29 19:45:00+00:00,bolton wanderers,mansfield town,1.56,4.0,5.3,casumo,soccer_england_league1
2025-12-29 19:45:00+00:00,bradford city,port vale,1.81,3.3,4.1,virginbet,soccer_england_league1
2025-12-29 19:45:00+00:00,burton albion,wigan athletic,2.88,3.15,2.3,virginbet,soccer_england_league1
2025-12-29 19:45:00+00:00,cardiff city,stevenage,1.8,3.25,4.1,virginbet,soccer_england_league1
2025-12-29 19:45:00+00:00,stockport county fc,doncaster rovers,1.89,3.45,3.9,casumo,soccer_england_league1
2025-12-29 19:45:00+00:00,wimbledon,exeter city,2.35,3.25,3.1,leovegas,soccer_england_league1
2025-12-29 19:45:00+00:00,huddersfield town,northampton town,1.6,3.65,5.0,virginbet,soccer_england_league1
2025-12-29 19:45:00+00:00,luton,leyton orient,1.83,3.4,3.9,virginbet,soccer_england_league1
2025-12-29 19:45:00+00:00,peterborough united,reading,2.33,3.35,2.85,grosvenor,soccer_england_league1
2025-12-29 19:45:00+00:00,plymouth argyle,wycombe wanderers,3.15,3.25,2.2,grosvenor,soccer_england_league1
2025-12-26 15:00:00+00:00,accrington stanley,barrow,2.1,3.2,3.3,betway,soccer_england_league2
2025-12-26 15:00:00+00:00,newport county,barnet,5.2,3.7,1.58,livescorebet,soccer_england_league2
2025-12-26 15:00:00+00:00,bristol rovers,bromley fc,3.05,3.15,2.28,casumo,soccer_england_league2
2025-12-26 15:00:00+00:00,gillingham,cambridge united,2.7,2.95,2.48,livescorebet,soccer_england_league2
2025-12-26 15:00:00+00:00,cheltenham town,shrewsbury town,2.75,3.05,2.48,livescorebet,soccer_england_league2
2025-12-26 15:00:00+00:00,chesterfield fc,notts county,2.28,3.35,2.8,casumo,soccer_england_league2
2025-12-26 15:00:00+00:00,crawley town,colchester united,2.75,3.3,2.35,leovegas,soccer_england_league2
2025-12-26 15:00:00+00:00,walsall,crewe alexandra,2.02,3.15,3.45,livescorebet,soccer_england_league2
2025-12-26 15:00:00+00:00,tranmere rovers,fleetwood town,2.23,3.3,2.95,leovegas,soccer_england_league2
2025-12-26 15:00:00+00:00,grimsby town,oldham athletic,1.97,3.45,3.45,casumo,soccer_england_league2
2025-12-26 15:00:00+00:00,salford city,harrogate town,1.42,4.4,6.5,casumo,soccer_england_league2
2025-12-26 15:00:00+00:00,milton keynes dons,swindon town,1.98,3.5,3.3,livescorebet,soccer_england_league2
2025-12-29 19:30:00+00:00,newport county,crewe alexandra,3.25,3.3,2.1,grosvenor,soccer_england_league2
2025-12-29 19:45:00+00:00,accrington stanley,harrogate town,1.93,3.35,3.65,casumo,soccer_england_league2
2025-12-29 19:45:00+00:00,bristol rovers,barnet,3.9,3.3,1.91,grosvenor,soccer_england_league2
2025-12-29 19:45:00+00:00,tranmere rovers,barrow,2.1,3.25,3.3,grosvenor,soccer_england_league2
2025-12-29 19:45:00+00:00,crawley town,bromley fc,2.65,3.25,2.48,leovegas,soccer_england_league2
2025-12-29 19:45:00+00:00,chesterfield fc,cambridge united,2.3,3.2,2.95,leovegas,soccer_england_league2
2025-12-29 19:45:00+00:00,cheltenham town,swindon town,3.9,3.55,1.83,casumo,soccer_england_league2
2025-12-29 19:45:00+00:00,gillingham,colchester united,2.5,3.2,2.65,casumo,soccer_england_league2
2025-12-29 19:45:00+00:00,salford city,fleetwood town,1.7,3.7,4.2,virginbet,soccer_england_league2
2025-12-29 19:45:00+00:00,grimsby town,shrewsbury town,1.8,3.5,4.1,leovegas,soccer_england_league2
2025-12-29 19:45:00+00:00,milton keynes dons,notts county,1.97,3.45,3.4,leovegas,soccer_england_league2
2025-12-29 19:45:00+00:00,walsall,oldham athletic,2.02,3.1,3.55,virginbet,soccer_england_league2
